transaction_id,question,response
31,how_likely_are_you_to_attend_this_event_in_the_future,2
31,what_is_your_birthdate,34813
31,what_is_your_household_income,"Less than $50,000"
31,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
32,phone_no,621-581-6414
32,event_id,3212
32,how_satisfied_were_you_with_this_event,3
32,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
32,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
32,what_is_your_birthdate,19289
32,what_is_your_household_income,"$250,00 or more"
32,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
33,phone_no,814-884-3630
33,event_id,3246
33,how_satisfied_were_you_with_this_event,5 - Very Satisfied
33,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
33,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
33,what_is_your_birthdate,34071
33,what_is_your_household_income,"$50,000 - $99,999"
33,what_is_your_highest_level_of_education_that_you_have_attained,High school
34,phone_no,791-455-9447
34,event_id,3238
34,how_satisfied_were_you_with_this_event,2
34,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
34,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
34,what_is_your_birthdate,17069
34,what_is_your_household_income,"$50,000 - $99,999"
34,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
35,phone_no,266-256-6629
35,event_id,3242
35,how_satisfied_were_you_with_this_event,2
35,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
35,how_likely_are_you_to_attend_this_event_in_the_future,3
35,what_is_your_birthdate,16842
35,what_is_your_household_income,"$200,000 - $249,000"
35,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
36,phone_no,807-601-7322
36,event_id,3249
36,how_satisfied_were_you_with_this_event,2
36,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
36,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
36,what_is_your_birthdate,29719
36,what_is_your_household_income,"Less than $50,000"
36,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
37,phone_no,517-475-3034
37,event_id,3225
37,how_satisfied_were_you_with_this_event,4
37,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
37,how_likely_are_you_to_attend_this_event_in_the_future,3
37,what_is_your_birthdate,28714
37,what_is_your_household_income,"$250,00 or more"
37,what_is_your_highest_level_of_education_that_you_have_attained,High school
38,phone_no,433-864-3752
38,event_id,3214
38,how_satisfied_were_you_with_this_event,2
38,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
38,how_likely_are_you_to_attend_this_event_in_the_future,3
38,what_is_your_birthdate,32919
38,what_is_your_household_income,"$100,000 - $149,000"
38,what_is_your_highest_level_of_education_that_you_have_attained,High school
39,phone_no,602-631-9873
39,event_id,3249
39,how_satisfied_were_you_with_this_event,3
39,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
39,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
39,what_is_your_birthdate,14866
39,what_is_your_household_income,"$200,000 - $249,000"
39,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
40,phone_no,620-561-5353
40,event_id,3220
40,how_satisfied_were_you_with_this_event,4
40,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
40,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
40,what_is_your_birthdate,37251
40,what_is_your_household_income,"$250,00 or more"
40,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
41,phone_no,333-936-5168
41,event_id,3245
41,how_satisfied_were_you_with_this_event,4
41,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
41,how_likely_are_you_to_attend_this_event_in_the_future,2
41,what_is_your_birthdate,34429
41,what_is_your_household_income,"$100,000 - $149,000"
41,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
42,phone_no,894-863-6135
42,event_id,3224
42,how_satisfied_were_you_with_this_event,3
42,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
42,how_likely_are_you_to_attend_this_event_in_the_future,2
42,what_is_your_birthdate,27930
42,what_is_your_household_income,"$150,000 - $199,000"
42,what_is_your_highest_level_of_education_that_you_have_attained,Associate's Degree
43,phone_no,501-615-2777
43,event_id,3242
43,how_satisfied_were_you_with_this_event,1 - Very Dissatisfied
43,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
43,how_likely_are_you_to_attend_this_event_in_the_future,4
43,what_is_your_birthdate,23446
43,what_is_your_household_income,"$200,000 - $249,000"
43,what_is_your_highest_level_of_education_that_you_have_attained,Associate's Degree
44,phone_no,550-126-6785
44,event_id,3251
44,how_satisfied_were_you_with_this_event,5 - Very Satisfied
44,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
44,how_likely_are_you_to_attend_this_event_in_the_future,2
44,what_is_your_birthdate,28488
44,what_is_your_household_income,"$200,000 - $249,000"
44,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
45,phone_no,237-748-3824
45,event_id,3218
45,how_satisfied_were_you_with_this_event,1 - Very Dissatisfied
45,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
45,how_likely_are_you_to_attend_this_event_in_the_future,2
45,what_is_your_birthdate,20853
45,what_is_your_household_income,"$200,000 - $249,000"
45,what_is_your_highest_level_of_education_that_you_have_attained,Associate's Degree
46,phone_no,286-242-7937
46,event_id,3213
46,how_satisfied_were_you_with_this_event,4
46,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
46,how_likely_are_you_to_attend_this_event_in_the_future,2
46,what_is_your_birthdate,32560
46,what_is_your_household_income,"$150,000 - $199,000"
46,what_is_your_highest_level_of_education_that_you_have_attained,High school
47,phone_no,891-415-5232
47,event_id,3230
47,how_satisfied_were_you_with_this_event,5 - Very Satisfied
47,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
47,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
47,what_is_your_birthdate,32620
47,what_is_your_household_income,"$250,00 or more"
47,what_is_your_highest_level_of_education_that_you_have_attained,High school
48,phone_no,673-147-6356
48,event_id,3248
48,how_satisfied_were_you_with_this_event,3
48,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
48,how_likely_are_you_to_attend_this_event_in_the_future,3
48,what_is_your_birthdate,23109
48,what_is_your_household_income,"$150,000 - $199,000"
48,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
49,phone_no,288-218-4095
49,event_id,3229
49,how_satisfied_were_you_with_this_event,1 - Very Dissatisfied
49,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
49,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
49,what_is_your_birthdate,17298
49,what_is_your_household_income,"$150,000 - $199,000"
49,what_is_your_highest_level_of_education_that_you_have_attained,Associate's Degree
50,phone_no,865-402-8962
50,event_id,3232
50,how_satisfied_were_you_with_this_event,4
50,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
50,how_likely_are_you_to_attend_this_event_in_the_future,3
50,what_is_your_birthdate,36282
50,what_is_your_household_income,"$50,000 - $99,999"
50,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
51,phone_no,601-663-7961
51,event_id,3251
51,how_satisfied_were_you_with_this_event,4
51,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
51,how_likely_are_you_to_attend_this_event_in_the_future,3
51,what_is_your_birthdate,19648
51,what_is_your_household_income,"$50,000 - $99,999"
51,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
52,phone_no,823-698-1708
52,event_id,3221
52,how_satisfied_were_you_with_this_event,2
52,how_satisfied_were_you_with_your_retail_experience_at_this_event,1 - Very Dissatisfied
52,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
52,what_is_your_birthdate,32762
52,what_is_your_household_income,"Less than $50,000"
52,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
53,phone_no,299-292-1853
53,event_id,3224
53,how_satisfied_were_you_with_this_event,5 - Very Satisfied
53,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
53,how_likely_are_you_to_attend_this_event_in_the_future,2
53,what_is_your_birthdate,22030
53,what_is_your_household_income,"$150,000 - $199,000"
53,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
54,phone_no,321-116-1951
54,event_id,3228
54,how_satisfied_were_you_with_this_event,4
54,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
54,how_likely_are_you_to_attend_this_event_in_the_future,4
54,what_is_your_birthdate,16232
54,what_is_your_household_income,"$200,000 - $249,000"
54,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
55,phone_no,237-748-3824
55,event_id,3237
55,how_satisfied_were_you_with_this_event,1 - Very Dissatisfied
55,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
55,how_likely_are_you_to_attend_this_event_in_the_future,4
55,what_is_your_birthdate,35673
55,what_is_your_household_income,"$250,00 or more"
55,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
56,phone_no,200-255-6033
56,event_id,3214
56,how_satisfied_were_you_with_this_event,5 - Very Satisfied
56,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
56,how_likely_are_you_to_attend_this_event_in_the_future,2
56,what_is_your_birthdate,16693
56,what_is_your_household_income,"$150,000 - $199,000"
56,what_is_your_highest_level_of_education_that_you_have_attained,High school
57,phone_no,789-285-9035
57,event_id,3232
57,how_satisfied_were_you_with_this_event,5 - Very Satisfied
57,how_satisfied_were_you_with_your_retail_experience_at_this_event,1 - Very Dissatisfied
57,how_likely_are_you_to_attend_this_event_in_the_future,3
57,what_is_your_birthdate,27203
57,what_is_your_household_income,"$200,000 - $249,000"
57,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
58,phone_no,309-935-5143
58,event_id,3220
58,how_satisfied_were_you_with_this_event,4
58,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
58,how_likely_are_you_to_attend_this_event_in_the_future,3
58,what_is_your_birthdate,34219
58,what_is_your_household_income,"$250,00 or more"
58,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
59,phone_no,208-486-3079
59,event_id,3218
59,how_satisfied_were_you_with_this_event,2
59,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
59,how_likely_are_you_to_attend_this_event_in_the_future,2
59,what_is_your_birthdate,17835
59,what_is_your_household_income,"$200,000 - $249,000"
59,what_is_your_highest_level_of_education_that_you_have_attained,High school
60,phone_no,887-494-8441
60,event_id,3233
60,how_satisfied_were_you_with_this_event,3
60,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
60,how_likely_are_you_to_attend_this_event_in_the_future,2
60,what_is_your_birthdate,30145
60,what_is_your_household_income,"$100,000 - $149,000"
60,what_is_your_highest_level_of_education_that_you_have_attained,High school
61,phone_no,823-698-1708
61,event_id,3235
61,how_satisfied_were_you_with_this_event,5 - Very Satisfied
61,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
61,how_likely_are_you_to_attend_this_event_in_the_future,4
61,what_is_your_birthdate,17703
61,what_is_your_household_income,"$250,00 or more"
61,what_is_your_highest_level_of_education_that_you_have_attained,High school
62,phone_no,729-169-6535
62,event_id,3245
62,how_satisfied_were_you_with_this_event,2
62,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
62,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
62,what_is_your_birthdate,34182
62,what_is_your_household_income,"$250,00 or more"
62,what_is_your_highest_level_of_education_that_you_have_attained,Associate's Degree
63,phone_no,273-521-7807
63,event_id,3233
63,how_satisfied_were_you_with_this_event,5 - Very Satisfied
63,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
63,how_likely_are_you_to_attend_this_event_in_the_future,4
63,what_is_your_birthdate,34157
63,what_is_your_household_income,"$100,000 - $149,000"
63,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
64,phone_no,717-651-4497
64,event_id,3245
64,how_satisfied_were_you_with_this_event,2
64,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
64,how_likely_are_you_to_attend_this_event_in_the_future,3
64,what_is_your_birthdate,34535
64,what_is_your_household_income,"$50,000 - $99,999"
64,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
65,phone_no,663-795-4865
65,event_id,3223
65,how_satisfied_were_you_with_this_event,3
65,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
65,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
65,what_is_your_birthdate,33728
65,what_is_your_household_income,"$50,000 - $99,999"
65,what_is_your_highest_level_of_education_that_you_have_attained,High school
66,phone_no,531-554-3702
66,event_id,3231
66,how_satisfied_were_you_with_this_event,3
66,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
66,how_likely_are_you_to_attend_this_event_in_the_future,3
66,what_is_your_birthdate,22456
66,what_is_your_household_income,"Less than $50,000"
66,what_is_your_highest_level_of_education_that_you_have_attained,Vocational School
67,phone_no,385-921-6319
67,event_id,3234
67,how_satisfied_were_you_with_this_event,5 - Very Satisfied
67,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
67,how_likely_are_you_to_attend_this_event_in_the_future,3
67,what_is_your_birthdate,15353
67,what_is_your_household_income,"$50,000 - $99,999"
67,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
68,phone_no,481-211-1175
68,event_id,3244
68,how_satisfied_were_you_with_this_event,4
68,how_satisfied_were_you_with_your_retail_experience_at_this_event,1 - Very Dissatisfied
68,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
68,what_is_your_birthdate,17042
68,what_is_your_household_income,"$150,000 - $199,000"
68,what_is_your_highest_level_of_education_that_you_have_attained,High school
69,phone_no,650-596-1445
69,event_id,3232
69,how_satisfied_were_you_with_this_event,4
69,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
69,how_likely_are_you_to_attend_this_event_in_the_future,2
69,what_is_your_birthdate,21117
69,what_is_your_household_income,"$250,00 or more"
69,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
70,phone_no,476-144-4575
70,event_id,3221
70,how_satisfied_were_you_with_this_event,3
70,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
70,how_likely_are_you_to_attend_this_event_in_the_future,2
70,what_is_your_birthdate,18663
70,what_is_your_household_income,"$50,000 - $99,999"
70,what_is_your_highest_level_of_education_that_you_have_attained,High school
71,phone_no,537-164-7407
71,event_id,3246
71,how_satisfied_were_you_with_this_event,5 - Very Satisfied
71,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
71,how_likely_are_you_to_attend_this_event_in_the_future,3
71,what_is_your_birthdate,24771
71,what_is_your_household_income,"Less than $50,000"
71,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
72,phone_no,760-786-5163
72,event_id,3235
72,how_satisfied_were_you_with_this_event,2
72,how_satisfied_were_you_with_your_retail_experience_at_this_event,1 - Very Dissatisfied
72,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
72,what_is_your_birthdate,23548
72,what_is_your_household_income,"$250,00 or more"
72,what_is_your_highest_level_of_education_that_you_have_attained,Graduate Degree
73,phone_no,892-346-3553
73,event_id,3232
73,how_satisfied_were_you_with_this_event,3
73,how_satisfied_were_you_with_your_retail_experience_at_this_event,4
73,how_likely_are_you_to_attend_this_event_in_the_future,4
73,what_is_your_birthdate,32738
73,what_is_your_household_income,"$50,000 - $99,999"
73,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
74,phone_no,566-194-2571
74,event_id,3242
74,how_satisfied_were_you_with_this_event,1 - Very Dissatisfied
74,how_satisfied_were_you_with_your_retail_experience_at_this_event,5 - Very Satisfied
74,how_likely_are_you_to_attend_this_event_in_the_future,1 - Very Unlikely
74,what_is_your_birthdate,29663
74,what_is_your_household_income,"Less than $50,000"
74,what_is_your_highest_level_of_education_that_you_have_attained,Bachelor's Degree
75,phone_no,777-830-8009
75,event_id,3233
75,how_satisfied_were_you_with_this_event,3
75,how_satisfied_were_you_with_your_retail_experience_at_this_event,3
75,how_likely_are_you_to_attend_this_event_in_the_future,5 - Very Likely
75,what_is_your_birthdate,18104
75,what_is_your_household_income,"$200,000 - $249,000"
75,what_is_your_highest_level_of_education_that_you_have_attained,Associate's Degree
76,phone_no,721-684-1994
76,event_id,3239
76,how_satisfied_were_you_with_this_event,2
76,how_satisfied_were_you_with_your_retail_experience_at_this_event,2
76,how_likely_are_you_to_attend_this_event_in_the_future,4
76,what_is_your_birthdate,31619
