transaction_id,account_no,email,zip,phone_no,section,row,qty,total_price,event_id,channel
28,A82381184M,user136@rockets.com,31555,510-831-1597,120,18,3,450,3228,Web
29,A35511281A,user85@rockets.com,78054,399-417-4359,109,17,6,1200,3227,BackOffice
30,A71932996Q,user66@rockets.com,77494,430-832-8464,116,13,2,300,3244,BackOffice
31,A65024255P,user255@rockets.com,77497,365-416-1472,416,11,8,160,3247,Box Office
32,A39594703F,user385@rockets.com,77068,460-913-3051,103,20,1,200,3248,BackOffice
33,A10507821G,user439@rockets.com,77063,767-543-4017,408,9,7,350,3216,Box Office
34,A59356089F,user111@rockets.com,76197,894-863-6135,109,3,2,400,3237,Box Office
35,A21369395Q,user496@rockets.com,77006,361-910-9668,409,8,5,250,3221,Web
36,A11689958W,user98@rockets.com,77031,244-805-9413,429,14,1,10,3226,BackOffice
37,A30719201K,user196@rockets.com,77433,585-779-4633,404,14,1,50,3243,Web
38,A93422526O,user62@rockets.com,75270,506-139-6831,128,6,6,900,3230,Web
39,A60637963Y,user284@rockets.com,77345,857-972-6254,408,8,4,200,3218,BackOffice
40,A72114084M,user211@rockets.com,77022,266-256-6629,108,4,8,1600,3246,BackOffice
41,A59752830P,user324@rockets.com,77338,868-655-9199,401,12,6,300,3213,Web
42,A89966984U,user165@rockets.com,77030,578-427-1291,406,18,7,350,3241,Web
43,A68691337R,user30@rockets.com,77076,814-884-3630,420,6,5,75,3230,BackOffice
44,A27528594L,user240@rockets.com,75599,212-217-8267,121,17,3,450,3212,BackOffice
45,A79586371U,user349@rockets.com,77027,649-191-1886,102,11,3,600,3214,Web
46,A95109565S,user91@rockets.com,77963,501-318-2406,410,3,2,100,3238,BackOffice
47,A25024610C,user333@rockets.com,78610,791-455-9447,419,16,7,105,3224,Web
48,A95109565S,user91@rockets.com,77963,501-318-2406,422,4,5,75,3246,Box Office
49,A51105346A,user38@rockets.com,75231,487-887-5124,406,5,5,250,3226,Web
50,A28648724L,user71@rockets.com,77586,811-279-7433,414,10,7,175,3240,Box Office
51,A14867825C,user242@rockets.com,77074,571-220-8576,426,4,6,60,3229,Box Office
52,A37038882A,user201@rockets.com,77396,209-605-6143,412,5,1,25,3229,BackOffice
53,A37183295I,user138@rockets.com,75124,391-872-3722,117,17,2,300,3249,Box Office
54,A16354559N,user189@rockets.com,76799,330-184-3046,100,19,8,1600,3246,Web
55,A28699422X,user354@rockets.com,77003,652-254-7793,406,4,1,50,3236,Web
56,A56648934O,user107@rockets.com,47970,316-305-1071,404,9,3,150,3240,Web
57,A33781094L,user69@rockets.com,76657,559-973-5169,403,13,3,150,3215,Box Office
58,A28211326G,user219@rockets.com,75497,658-637-6820,413,14,4,100,3231,Box Office
59,A51646055Z,user412@rockets.com,77494,869-594-9990,121,18,6,900,3226,Box Office
60,A33494746K,user32@rockets.com,76135,460-623-3544,129,14,2,300,3239,Box Office
61,A19923498C,user275@rockets.com,77023,531-554-3702,122,16,4,600,3248,Box Office
62,A83268502Y,user21@rockets.com,75017,276-299-4595,409,14,2,100,3219,Box Office
63,A37155507A,user18@rockets.com,77012,645-680-2091,400,1,4,200,3214,BackOffice
64,A53911439N,user182@rockets.com,77459,379-724-3829,108,7,3,600,3244,Box Office
65,A76587089H,user316@rockets.com,76197,689-280-7600,124,4,4,600,3224,BackOffice
66,A17661570G,user202@rockets.com,77037,719-734-8886,119,12,1,150,3231,BackOffice
67,A83268502Y,user21@rockets.com,75017,276-299-4595,410,20,1,50,3224,Box Office
68,A25166494L,user277@rockets.com,77447,824-799-3831,103,10,3,600,3246,Web
69,A36984219A,user465@rockets.com,77472,262-544-8970,430,12,4,40,3245,BackOffice
70,A21469596P,user8@rockets.com,76828,270-950-4390,409,5,7,350,3215,BackOffice
71,A90425998C,user230@rockets.com,77026,729-877-7463,412,12,5,125,3247,Web
72,A49987289I,user120@rockets.com,77357,892-320-8983,111,14,7,1190,3219,Web
73,A24007187L,user192@rockets.com,77092,412-161-9353,124,13,8,1200,3235,Web
74,A22282792B,user237@rockets.com,78061,702-491-5540,122,15,4,600,3239,Web
75,A33494746K,user32@rockets.com,76135,460-623-3544,129,9,2,300,3218,Web
76,A87565541C,user389@rockets.com,77017,414-194-2741,429,2,4,40,3224,BackOffice
77,A99236367H,user308@rockets.com,75710,854-931-6412,105,7,6,1200,3233,BackOffice
78,A43458879E,user48@rockets.com,77092,545-974-7907,105,19,1,200,3227,BackOffice
79,A53522147Z,user187@rockets.com,75151,646-685-9094,122,9,8,1200,3230,Box Office
80,A39077454F,user279@rockets.com,76384,695-426-2603,410,17,7,350,3219,Box Office
81,A75373102Q,user193@rockets.com,77406,729-169-6535,410,10,3,150,3227,Box Office
82,A47432461Z,user213@rockets.com,76136,826-458-9773,118,7,8,1200,3228,Web
83,A80239774Y,user100@rockets.com,77836,550-126-6785,121,7,8,1200,3231,BackOffice
84,A74626076G,user160@rockets.com,76710,679-634-2819,109,1,5,1000,3250,Web
85,A61785836R,user445@rockets.com,77254,813-474-6020,102,16,4,800,3231,Web
86,A97866732S,user67@rockets.com,78062,569-306-4565,413,18,1,25,3221,Box Office
87,A64912998V,user129@rockets.com,38587,737-873-5833,116,18,8,1200,3223,Web
88,A28101775K,user254@rockets.com,77586,435-986-2962,123,6,7,1050,3249,Web
89,A50494389C,user74@rockets.com,75497,644-590-6034,420,14,8,120,3251,BackOffice
90,A28101775K,user254@rockets.com,77586,435-986-2962,105,6,6,1200,3218,Web
91,A47847635G,user406@rockets.com,77375,677-473-6538,110,19,7,1400,3235,Web
92,A91261380F,user224@rockets.com,49910,835-434-7276,420,16,2,30,3227,Box Office
93,A10832487F,user450@rockets.com,77388,249-949-3552,409,19,5,250,3216,BackOffice
94,A32143269T,user297@rockets.com,75052,674-251-1148,125,3,4,600,3236,BackOffice
95,A25487937E,user185@rockets.com,77507,884-924-4272,423,4,6,90,3249,Web
96,A70052743K,user88@rockets.com,77382,721-684-1994,123,2,7,1050,3250,Box Office
97,A30813005Q,user33@rockets.com,76426,287-227-2087,411,11,5,125,3219,Box Office
98,A18514730C,user429@rockets.com,77035,798-815-6402,103,2,7,1400,3213,Box Office
99,A42757175H,user175@rockets.com,75489,608-624-6749,107,11,2,400,3235,BackOffice
100,A99941524R,user31@rockets.com,75017,379-449-1875,130,18,6,900,3231,Box Office
101,A50659271Z,user125@rockets.com,77016,571-281-1263,107,2,1,200,3220,Box Office
102,A17212156T,user315@rockets.com,77015,518-475-7681,416,11,5,100,3241,Box Office
103,A70131546R,user464@rockets.com,78163,619-364-5526,416,10,5,100,3226,Box Office
104,A37926027H,user87@rockets.com,77584,238-199-2712,117,9,2,300,3237,Box Office
105,A88636568A,user320@rockets.com,75853,756-741-7339,422,15,1,15,3241,Box Office
106,A11788475H,user168@rockets.com,77064,519-316-9368,419,4,7,105,3251,Web
107,A14506762J,user443@rockets.com,77006,262-525-9282,128,6,7,1050,3247,Box Office
108,A67099239P,user259@rockets.com,78608,208-486-3079,429,9,7,70,3222,BackOffice
109,A52731712U,user433@rockets.com,75554,560-905-2448,100,7,8,1600,3236,Web
110,A29805015H,user72@rockets.com,77060,639-944-7320,128,18,1,150,3221,BackOffice
111,A49074157C,user258@rockets.com,77339,361-658-9642,111,12,2,340,3239,Web
112,A25166494L,user277@rockets.com,77447,824-799-3831,408,20,2,100,3250,Box Office
113,A85775754F,user371@rockets.com,77084,887-494-8441,411,16,7,175,3227,BackOffice
114,A91943933C,user298@rockets.com,74868,446-371-4938,119,10,5,750,3242,BackOffice
115,A35511281A,user85@rockets.com,78054,399-417-4359,424,10,6,90,3220,Web
116,A97175732H,user96@rockets.com,75210,600-540-6873,100,4,5,1000,3246,Box Office
117,A88705157L,user357@rockets.com,77584,770-519-9118,118,15,6,900,3243,BackOffice
118,A88069846Y,user490@rockets.com,78626,640-768-3461,100,19,1,200,3251,Box Office
119,A67449862H,user180@rockets.com,75782,414-394-8054,408,9,7,350,3211,Box Office
120,A13613133D,user499@rockets.com,77007,754-332-1121,422,20,6,90,3246,BackOffice
121,A13613133D,user499@rockets.com,77007,754-332-1121,404,3,6,300,3243,BackOffice
122,A12108940C,user227@rockets.com,78254,662-585-4653,420,17,7,105,3231,Box Office
123,A71932996Q,user66@rockets.com,77494,430-832-8464,426,1,2,20,3218,BackOffice
124,A13189117Q,user377@rockets.com,77001,724-307-9182,430,19,7,70,3217,Web
125,A32801312Q,user457@rockets.com,75052,318-274-2105,109,13,2,400,3236,BackOffice
126,A70189443X,user152@rockets.com,76472,626-297-9797,408,9,7,350,3229,BackOffice
127,A44442077C,user233@rockets.com,76657,688-462-2834,409,10,8,400,3216,BackOffice
128,A11788475H,user168@rockets.com,77064,519-316-9368,104,13,2,400,3222,Box Office
129,A88548357P,user420@rockets.com,75125,326-172-8521,401,13,5,250,3247,Box Office
130,A54406841U,user474@rockets.com,76649,394-434-4180,425,19,4,60,3233,BackOffice
131,A62759828F,user146@rockets.com,76853,862-357-3734,400,7,6,300,3218,Web
132,A46151060A,user92@rockets.com,77503,617-180-9787,110,19,1,200,3239,Web
133,A82383061F,user101@rockets.com,77388,226-568-7645,121,1,4,600,3222,Box Office
134,A44144526B,user274@rockets.com,77079,318-642-1322,428,3,1,10,3249,Box Office
135,A32143269T,user297@rockets.com,75052,674-251-1148,125,10,2,300,3237,BackOffice
136,A36829944D,user78@rockets.com,76642,893-707-7445,426,3,2,20,3234,Box Office
137,A18291105P,user350@rockets.com,75764,835-990-6986,409,8,4,200,3241,Box Office
138,A80229052D,user417@rockets.com,76834,707-105-6180,400,4,4,200,3225,Web
139,A55814854L,user309@rockets.com,72331,543-841-3502,127,4,3,450,3244,BackOffice
140,A84518055I,user383@rockets.com,78268,508-477-7254,422,5,6,90,3244,Box Office
141,A98639365S,user397@rockets.com,75710,338-540-1022,129,10,4,600,3212,Box Office
142,A77491555W,user79@rockets.com,75558,225-515-4476,126,16,5,750,3213,BackOffice
143,A80239774Y,user100@rockets.com,77836,550-126-6785,412,11,7,175,3234,Box Office
144,A12074161W,user479@rockets.com,77338,854-702-4896,110,7,6,1200,3238,BackOffice
145,A94946026W,user454@rockets.com,75036,559-231-2156,406,1,8,400,3246,Web
146,A64792975G,user375@rockets.com,78061,673-147-6356,404,13,1,50,3249,Box Office
147,A27998373S,user110@rockets.com,75065,802-628-1079,401,17,3,150,3241,Box Office
148,A50025816L,user265@rockets.com,78254,210-311-8926,418,5,5,100,3215,Web
149,A26087997R,user359@rockets.com,77472,464-686-4183,406,3,3,150,3242,Web
150,A25098733U,user430@rockets.com,77012,485-859-6432,105,3,2,400,3230,Box Office
151,A49026011W,user312@rockets.com,76569,260-607-1918,130,2,5,750,3247,BackOffice
152,A69851365O,user82@rockets.com,76865,688-934-1357,107,18,3,600,3247,BackOffice
153,A70052743K,user88@rockets.com,77382,721-684-1994,410,14,5,250,3233,Box Office
154,A39781105M,user319@rockets.com,77406,206-848-8509,421,3,7,105,3216,Box Office
155,A84589914K,user334@rockets.com,77093,871-526-4107,427,18,7,70,3233,Web
156,A75373102Q,user193@rockets.com,77406,729-169-6535,429,18,5,50,3239,Web
157,A18316672P,user432@rockets.com,77073,378-591-7346,403,12,4,200,3225,BackOffice
158,A90604226Q,user267@rockets.com,75019,277-837-8155,410,13,5,250,3219,BackOffice
159,A46151060A,user92@rockets.com,77503,617-180-9787,119,18,5,750,3223,BackOffice
160,A16886960K,user304@rockets.com,76564,790-443-3850,106,6,5,1000,3225,BackOffice
161,A43365422U,user295@rockets.com,77502,674-548-4424,414,13,8,200,3234,Box Office
162,A33098988R,user293@rockets.com,77070,308-886-8964,107,17,3,600,3215,Box Office
163,A39547939D,user500@rockets.com,77061,327-236-1237,102,2,7,1400,3213,Web
164,A50299262X,user190@rockets.com,78054,644-438-4893,109,4,4,800,3245,Web
165,A99696613F,user353@rockets.com,75448,716-338-2197,404,1,3,150,3234,Web
166,A37251006E,user16@rockets.com,77072,507-573-8758,410,11,2,100,3213,Box Office
167,A40175980Y,user172@rockets.com,77503,502-171-6687,128,10,7,1050,3234,Web
168,A22275284L,user73@rockets.com,77015,509-331-6469,112,12,2,340,3246,Box Office
169,A84518055I,user383@rockets.com,78268,508-477-7254,123,20,6,900,3213,BackOffice
170,A92779568M,user1@rockets.com,77092,744-736-6304,108,13,1,200,3228,Web
171,A72694075A,user323@rockets.com,42456,729-493-1582,113,16,2,340,3240,BackOffice
172,A23733027F,user364@rockets.com,75270,717-651-4497,105,14,3,600,3214,Web
173,A54828137N,user128@rockets.com,76673,760-786-5163,409,19,5,250,3222,Web
174,A97051659C,user44@rockets.com,77546,537-164-7407,109,16,5,1000,3215,BackOffice
175,A35511281A,user85@rockets.com,78054,399-417-4359,113,16,2,340,3243,BackOffice
176,A68151367Y,user447@rockets.com,77012,494-673-3995,104,14,1,200,3212,Box Office
177,A72672811P,user487@rockets.com,77493,602-925-5423,112,5,4,680,3237,BackOffice
178,A34667919B,user226@rockets.com,76518,474-664-9907,408,14,2,100,3246,Web
179,A30708689D,user468@rockets.com,77015,286-242-7937,102,11,5,1000,3249,Web
180,A55503293P,user379@rockets.com,75057,231-757-6010,130,16,2,300,3247,Box Office
181,A33975959M,user46@rockets.com,77373,621-290-4093,124,3,1,150,3241,Box Office
182,A27891663M,user4@rockets.com,77006,595-266-1942,115,20,5,850,3221,Box Office
183,A80229052D,user417@rockets.com,76834,707-105-6180,127,12,8,1200,3217,Web
184,A97866732S,user67@rockets.com,78062,569-306-4565,405,2,4,200,3230,Web
185,A21455117J,user109@rockets.com,77098,891-415-5232,109,14,7,1400,3251,Box Office
186,A56648934O,user107@rockets.com,47970,316-305-1071,113,19,7,1190,3227,BackOffice
187,A28525396I,user47@rockets.com,22643,495-720-3155,101,17,4,800,3219,Box Office
188,A18514730C,user429@rockets.com,77035,798-815-6402,127,14,4,600,3247,Web
189,A60936987N,user86@rockets.com,77045,486-933-6660,107,20,8,1600,3221,Web
190,A82842369V,user210@rockets.com,76873,527-544-2707,402,11,5,250,3232,Box Office
191,A48718691S,user288@rockets.com,77025,364-944-6088,405,19,8,400,3219,BackOffice
192,A85951110O,user94@rockets.com,77067,466-639-7281,116,6,8,1200,3212,Box Office
193,A16886960K,user304@rockets.com,76564,790-443-3850,101,10,4,800,3235,Box Office
194,A44472376E,user45@rockets.com,77090,273-521-7807,101,12,3,600,3226,BackOffice
195,A13295293F,user337@rockets.com,77083,557-906-8786,411,14,1,25,3235,BackOffice
196,A18553725A,user346@rockets.com,13408,373-921-1906,124,12,1,150,3241,Web
197,A82733739P,user43@rockets.com,76649,688-426-8097,101,9,5,1000,3223,Box Office
198,A53089708O,user14@rockets.com,77493,621-684-3387,101,4,7,1400,3222,Box Office
199,A33394476N,user378@rockets.com,76837,860-517-4828,109,5,2,400,3227,Web
200,A13324705B,user145@rockets.com,77870,850-386-9578,421,16,7,105,3214,BackOffice
201,A64381740H,user9@rockets.com,78140,200-255-6033,127,3,1,150,3239,Box Office
202,A15657317G,user306@rockets.com,77588,748-988-3082,102,16,1,200,3213,Box Office
203,A84518055I,user383@rockets.com,78268,508-477-7254,414,18,1,25,3225,BackOffice
204,A28648724L,user71@rockets.com,77586,811-279-7433,425,12,3,45,3243,Box Office
205,A89966984U,user165@rockets.com,77030,578-427-1291,405,2,6,300,3249,Web
206,A33975959M,user46@rockets.com,77373,621-290-4093,107,17,7,1400,3244,Web
207,A94157112P,user115@rockets.com,77532,288-218-4095,104,10,7,1400,3218,Box Office
208,A53362606D,user206@rockets.com,76540,569-125-2530,411,20,8,200,3245,BackOffice
209,A90768479T,user282@rockets.com,77520,441-530-5942,124,6,1,150,3226,Web
210,A76587089H,user316@rockets.com,76197,689-280-7600,123,14,4,600,3222,Web
211,A72114084M,user211@rockets.com,77022,266-256-6629,429,3,4,40,3213,Box Office
212,A33494746K,user32@rockets.com,76135,460-623-3544,414,1,8,200,3244,BackOffice
213,A51989219O,user174@rockets.com,78220,202-682-5364,426,5,1,10,3217,Box Office
214,A70228841X,user191@rockets.com,31555,739-851-2053,430,16,8,80,3249,Box Office
215,A37726656J,user396@rockets.com,78228,789-254-6298,102,12,7,1400,3232,Box Office
216,A78511388Y,user434@rockets.com,78661,305-118-6531,425,7,5,75,3241,Box Office
217,A83039665Z,user232@rockets.com,77063,852-914-7921,102,6,5,1000,3212,Box Office
218,A94157112P,user115@rockets.com,77532,288-218-4095,424,20,2,30,3222,Web
219,A45958583S,user263@rockets.com,75138,309-935-5143,408,12,8,400,3215,BackOffice
220,A70815777Q,user53@rockets.com,77045,291-825-1038,122,6,7,1050,3213,BackOffice
221,A22275284L,user73@rockets.com,77015,509-331-6469,419,5,5,75,3232,Web
222,A55553693M,user188@rockets.com,75142,389-959-1419,405,16,2,100,3211,Box Office
223,A17118968F,user57@rockets.com,77057,876-979-5074,118,8,3,450,3220,Box Office
224,A67099239P,user259@rockets.com,78608,208-486-3079,402,20,1,50,3217,BackOffice
225,A69119451J,user235@rockets.com,75568,817-167-5634,416,4,4,80,3235,BackOffice
226,A29805015H,user72@rockets.com,77060,639-944-7320,121,17,7,1050,3212,Web
227,A17821104E,user341@rockets.com,22643,343-142-9373,127,12,1,150,3225,BackOffice
228,A68263605G,user218@rockets.com,76842,569-340-4408,411,13,8,200,3216,Web
229,A42547806N,user422@rockets.com,77030,296-828-2786,109,18,4,800,3236,BackOffice
230,A91679575A,user409@rockets.com,77099,359-601-1637,407,19,6,300,3222,Web
231,A29104356N,user360@rockets.com,77068,328-958-2362,400,17,5,250,3211,Box Office
232,A42598391B,user28@rockets.com,76715,273-879-6705,412,11,8,200,3247,Web
233,A83755923B,user488@rockets.com,77587,780-131-2239,408,4,7,350,3226,BackOffice
234,A41848969U,user424@rockets.com,76190,559-528-4520,430,12,6,60,3215,BackOffice
235,A78511388Y,user434@rockets.com,78661,305-118-6531,409,3,8,400,3239,BackOffice
236,A36918507A,user105@rockets.com,77477,607-277-7701,421,15,3,45,3238,BackOffice
237,A39555796S,user183@rockets.com,76513,225-517-6155,120,2,5,750,3224,BackOffice
238,A85349024P,user493@rockets.com,77478,299-292-1853,124,14,8,1200,3232,Box Office
239,A37155507A,user18@rockets.com,77012,645-680-2091,118,13,1,150,3240,BackOffice
240,A58235889Q,user365@rockets.com,31555,880-159-1763,416,8,4,80,3232,BackOffice
241,A36967093Y,user83@rockets.com,77024,827-282-6942,400,18,7,350,3228,BackOffice
242,A93445706W,user452@rockets.com,77497,630-538-4400,408,10,1,50,3223,Web
243,A24422720Y,user59@rockets.com,76837,579-662-3675,108,2,5,1000,3220,Box Office
244,A72493302V,user41@rockets.com,76653,546-963-3604,423,2,4,60,3232,BackOffice
245,A10151818T,user342@rockets.com,76865,705-179-8425,108,10,1,200,3216,BackOffice
246,A78226630L,user89@rockets.com,77345,892-177-9243,128,11,8,1200,3221,Box Office
247,A28525396I,user47@rockets.com,22643,495-720-3155,117,3,8,1200,3228,Web
248,A19923498C,user275@rockets.com,77023,531-554-3702,400,2,1,50,3232,BackOffice
249,A75398764V,user116@rockets.com,75189,769-468-7812,428,8,7,70,3213,BackOffice
250,A11689958W,user98@rockets.com,77031,244-805-9413,109,14,1,200,3245,Web
251,A53362606D,user206@rockets.com,76540,569-125-2530,119,18,7,1050,3244,Box Office
252,A25098733U,user430@rockets.com,77012,485-859-6432,129,20,6,900,3219,BackOffice
253,A29805015H,user72@rockets.com,77060,639-944-7320,427,15,6,60,3223,Web
254,A33613370Q,user64@rockets.com,75491,263-383-7772,405,20,1,50,3247,BackOffice
255,A36344558W,user466@rockets.com,77502,301-955-7552,129,9,7,1050,3242,Box Office
256,A68151367Y,user447@rockets.com,77012,494-673-3995,414,9,5,125,3219,BackOffice
257,A50659271Z,user125@rockets.com,77016,571-281-1263,424,15,8,120,3245,BackOffice
258,A56997374O,user157@rockets.com,75551,819-547-4840,110,2,1,200,3239,Web
259,A73869473M,user34@rockets.com,77080,594-795-4955,111,10,3,510,3241,Web
260,A13164461V,user80@rockets.com,76569,621-581-6414,420,19,2,30,3221,BackOffice
261,A55503293P,user379@rockets.com,75057,231-757-6010,409,6,8,400,3250,Web
262,A85122495F,user343@rockets.com,77011,255-826-9007,427,11,4,40,3213,Web
263,A54406841U,user474@rockets.com,76649,394-434-4180,123,13,8,1200,3232,Web
264,A81777418V,user281@rockets.com,77510,846-788-5127,400,15,8,400,3247,Web
265,A53089708O,user14@rockets.com,77493,621-684-3387,112,9,8,1360,3250,BackOffice
266,A23561044B,user498@rockets.com,76799,291-238-1310,104,11,8,1600,3243,BackOffice
267,A36344558W,user466@rockets.com,77502,301-955-7552,110,20,7,1400,3219,Web
268,A33613370Q,user64@rockets.com,75491,263-383-7772,105,13,7,1400,3245,BackOffice
269,A36967093Y,user83@rockets.com,77024,827-282-6942,405,18,5,250,3232,BackOffice
270,A13229494P,user6@rockets.com,75453,520-173-7614,126,11,7,1050,3211,Box Office
271,A99236367H,user308@rockets.com,75710,854-931-6412,407,4,1,50,3241,Box Office
272,A88636568A,user320@rockets.com,75853,756-741-7339,112,11,7,1190,3233,Web
273,A63498158V,user484@rockets.com,29899,893-916-7047,122,10,8,1200,3214,Box Office
274,A55814854L,user309@rockets.com,72331,543-841-3502,420,15,5,75,3234,Web
275,A71554802O,user467@rockets.com,77071,621-438-3184,407,18,3,150,3237,Box Office
276,A54942849N,user305@rockets.com,77287,444-408-9614,120,18,3,450,3241,Web
277,A30813005Q,user33@rockets.com,76426,287-227-2087,124,12,8,1200,3216,Web
278,A71932996Q,user66@rockets.com,77494,430-832-8464,123,8,1,150,3251,Web
279,A94701502M,user451@rockets.com,77546,480-195-1601,119,14,3,450,3218,Web
280,A24064102G,user149@rockets.com,78610,517-399-1063,115,19,4,680,3231,BackOffice
281,A72493302V,user41@rockets.com,76653,546-963-3604,100,16,3,600,3239,BackOffice
282,A12074161W,user479@rockets.com,77338,854-702-4896,418,3,1,20,3233,Web
283,A53055525I,user269@rockets.com,77362,782-412-7390,418,16,4,80,3221,Web
284,A46982160H,user2@rockets.com,76389,807-601-7322,403,7,5,250,3236,Box Office
285,A50253255G,user156@rockets.com,77024,247-278-9416,102,1,8,1600,3251,BackOffice
286,A36983609I,user287@rockets.com,76837,604-283-7300,127,11,3,450,3241,Box Office
287,A71476784R,user311@rockets.com,77507,437-266-7267,105,3,7,1400,3231,BackOffice
288,A27146115A,user20@rockets.com,77581,320-336-6993,400,14,8,400,3232,Web
289,A94157112P,user115@rockets.com,77532,288-218-4095,110,18,5,1000,3230,BackOffice
290,A28525396I,user47@rockets.com,22643,495-720-3155,409,2,4,200,3221,BackOffice
291,A84436422X,user310@rockets.com,77023,868-954-3472,100,13,1,200,3211,BackOffice
292,A57299012I,user280@rockets.com,76564,621-421-2306,100,14,8,1600,3216,Web
293,A60936987N,user86@rockets.com,77045,486-933-6660,124,4,4,600,3239,Web
294,A26765950X,user485@rockets.com,75778,706-322-2785,125,1,2,300,3241,Box Office
295,A36344558W,user466@rockets.com,77502,301-955-7552,118,16,5,750,3221,BackOffice
296,A75876229I,user356@rockets.com,77049,807-120-9893,125,16,4,600,3217,BackOffice
297,A59752830P,user324@rockets.com,77338,868-655-9199,404,17,5,250,3212,Web
298,A27146115A,user20@rockets.com,77581,320-336-6993,112,11,2,340,3247,Box Office
299,A28037913R,user407@rockets.com,77009,594-330-9936,409,16,7,350,3221,BackOffice
300,A61374073U,user256@rockets.com,31555,476-144-4575,126,12,7,1050,3248,Web
301,A66721767E,user416@rockets.com,76869,517-475-3034,415,4,1,20,3222,BackOffice
302,A15046814S,user95@rockets.com,76426,540-630-4107,122,15,5,750,3236,Box Office
303,A12587302V,user455@rockets.com,78115,486-345-7133,120,17,4,600,3251,Web
304,A64543260A,user257@rockets.com,75146,325-414-3557,115,16,8,1360,3240,BackOffice
305,A43767606P,user368@rockets.com,25628,748-773-9187,129,17,2,300,3236,BackOffice
306,A23602590N,user150@rockets.com,78268,460-279-4514,130,20,3,450,3214,BackOffice
307,A73992940Z,user440@rockets.com,74868,784-343-7015,418,15,4,80,3241,BackOffice
308,A97866732S,user67@rockets.com,78062,569-306-4565,107,2,5,1000,3220,Box Office
309,A19923498C,user275@rockets.com,77023,531-554-3702,109,16,5,1000,3218,BackOffice
310,A13164461V,user80@rockets.com,76569,621-581-6414,119,10,1,150,3227,Web
311,A33098988R,user293@rockets.com,77070,308-886-8964,108,20,2,400,3247,Web
312,A48949765L,user470@rockets.com,77014,846-855-2354,109,15,5,1000,3225,Web
313,A51646055Z,user412@rockets.com,77494,869-594-9990,405,8,6,300,3229,Web
314,A53522147Z,user187@rockets.com,75151,646-685-9094,425,20,7,105,3226,Box Office
315,A61785836R,user445@rockets.com,77254,813-474-6020,419,15,3,45,3238,Web
316,A98035804M,user332@rockets.com,77616,524-512-1663,424,6,8,120,3220,Web
317,A16354559N,user189@rockets.com,76799,330-184-3046,404,20,7,350,3233,BackOffice
318,A13785680M,user313@rockets.com,75048,667-916-2673,428,16,3,30,3239,BackOffice
319,A91943933C,user298@rockets.com,74868,446-371-4938,405,6,4,200,3230,Web
320,A36173149D,user327@rockets.com,77586,492-599-5497,112,16,8,1360,3213,BackOffice
321,A36849821I,user198@rockets.com,77484,437-155-8642,411,4,5,125,3245,Web
322,A43369455G,user58@rockets.com,76657,601-663-7961,404,5,2,100,3236,Box Office
323,A57599164R,user84@rockets.com,75065,263-981-3374,414,3,1,25,3216,BackOffice
